ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,ZA,#country+name,#date+year,#survey+id,#indicator+code,250252010,I,1000,0,Total,Total,#indicator+label+code,#indicator+label,1,1,HCMEMBHMNM,NA,2016,DHS,37205,37925,NA,NA,NA
ZAF,795844,Population using an improved water source,83.5,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_P_IMP,250162010,I,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEPIMP,NA,1998,DHS,52007,52465,NA,NA,NA
ZAF,795750,Population using water piped into dwelling,36,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_P_PIP,250162020,I,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEPPIP,NA,1998,DHS,52007,52465,NA,NA,NA
ZAF,795755,Population using water piped into yard/plot,23.1,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_P_PYD,250162025,I,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEPPYD,NA,1998,DHS,52007,52465,NA,NA,NA
ZAF,795740,Population using a public tap/standpipe,19.3,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_P_TAP,250162030,I,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEPTAP,NA,1998,DHS,52007,52465,NA,NA,NA
ZAF,795744,Population with improved water source on the premises,60.3,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_P_IOP,250162190,I,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEPIOP,NA,1998,DHS,52007,52465,NA,NA,NA
ZAF,795754,Population with basic water service,80.2,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_P_BAS,250162200,I,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEPBAS,NA,1998,DHS,52007,52465,NA,NA,NA
ZAF,795749,Population with limited water service,3.3,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_P_LTD,250162210,I,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEPLTD,NA,1998,DHS,52007,52465,NA,NA,NA
ZAF,795743,Population with water more than 30 minutes away round trip,8.4,1,ZA,South Africa,1998,ZA1998DHS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,#indicator+label,1,1,WSTIMEPM30,NA,1998,DHS,52007,52465,NA,NA,NA
ZAF,795102,Population with an improved sanitation facility,46.4,1,ZA,South Africa,1998,ZA1998DHS,WS_TLET_P_IMP,250262010,I,1000,0,Total,Total,0,#indicator+label,1,1,WSTLETPIMP,NA,1998,DHS,52007,52465,NA,NA,NA
