ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,ZA,#country+name,#date+year,#survey+id,#indicator+code,83566070,I,1000,0,Total,Total,#indicator+label+code,#indicator+label,1,1,RHDELPCDHF,NA,2016,DHS,3050,2841,37.5,52,NA
ZAF,796527,Total fertility rate 15-49,2.9,1,ZA,South Africa,1998,ZA1998DHS,FE_FRTR_W_TFR,11763080,I,1000,0,Total,Total,0,Five years preceding the survey,1,1,FEFRTRWTFR,NA,1998,DHS,3050,2841,37.5,52,NA
ZAF,795692,Married women currently using any method of contraception,56.3,1,ZA,South Africa,1998,ZA1998DHS,FP_CUSM_W_ANY,32633010,I,1000,0,Total,Total,0,Five years preceding the survey,1,1,FPCUSMWANY,NA,1998,DHS,4826.5,4778,37.5,52,NA
ZAF,795693,Married women currently using any modern method of contraception,55.1,1,ZA,South Africa,1998,ZA1998DHS,FP_CUSM_W_MOD,32633020,I,1000,0,Total,Total,0,Five years preceding the survey,1,1,FPCUSMWMOD,NA,1998,DHS,4826.5,4778,37.5,52,NA
ZAF,795515,Unmet need for family planning,16.5,1,ZA,South Africa,1998,ZA1998DHS,FP_NADM_W_UNT,32933030,I,1000,0,Total,Total,0,Five years preceding the survey,1,1,FPNADMWUNT,NA,1998,DHS,4826.5,4778,37.5,52,NA
ZAF,795357,Demand for family planning satisfied by modern methods,75.7,1,ZA,South Africa,1998,ZA1998DHS,FP_NADM_W_PDM,32933150,I,1000,0,Total,Total,0,Five years preceding the survey,1,1,FPNADMWPDM,NA,1998,DHS,3695,3590,37.5,52,NA
ZAF,796657,Median age at first marriage [Women]: 25-49,24.2,1,ZA,South Africa,1998,ZA1998DHS,MA_AAFM_W_M2B,41633090,I,1000,0,Total,Total,0,Five years preceding the survey,1,1,MAAAFMWM2B,NA,1998,DHS,3050,2841,37.5,52,NA
ZAF,796685,Median age at first sexual intercourse [Women]: 25-49,18.4,1,ZA,South Africa,1998,ZA1998DHS,SX_AAFS_W_M2B,51703090,I,1000,0,Total,Total,0,Five years preceding the survey,1,1,SXAAFSWM2B,NA,1998,DHS,3050,2841,37.5,52,NA
ZAF,61831,Infant mortality rate,45,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCIMR,NA,1998,DHS,3050,2841,37.5,52,NA
ZAF,76067,Infant mortality rate,42,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,1,CMECMRCIMR,NA,1998,DHS,3050,2841,37.5,52,NA
ZAF,26522,Under-five mortality rate,59,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,NA,1998,DHS,3050,2841,37.5,52,NA
ZAF,775922,Under-five mortality rate,57,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,1,CMECMRCU5M,NA,1998,DHS,3050,2841,37.5,52,NA
ZAF,713103,Pregnancy-related mortality ratio,150,0,ZA,South Africa,1998,ZA1998DHS,MM_MMRO_W_PMR,77033020,I,1000,0,Total,Total,0,Five years preceding the survey,1,1,MMMMROWPMR,NA,1998,DHS,3050,2841,37.5,52,NA
