"ISO3","DataId","Indicator","Value","Precision","DHS_CountryCode","CountryName","SurveyYear","SurveyId","IndicatorId","IndicatorOrder","IndicatorType","CharacteristicId","CharacteristicOrder","CharacteristicCategory","CharacteristicLabel","ByVariableId","ByVariableLabel","IsTotal","IsPreferred","SDRID","RegionId","SurveyYearLabel","SurveyType","DenominatorWeighted","DenominatorUnweighted","CILow","CIHigh","LevelRank"
"ZAF",205488,"Antenatal care provider: Doctor",27.3,1,"ZA","South Africa",1998,"ZA1998DHS","RH_ANCP_W_DOC",83363010,"I",1000,0,"Total","Total",14002,"Two years preceding the survey",1,1,"RHANCPWDOC",NA,1998,"DHS",2010,2041,NA,NA,NA
"ZAF",205485,"Antenatal care provider: Nurse/midwife",68.4,1,"ZA","South Africa",1998,"ZA1998DHS","RH_ANCP_W_NRS",83363020,"I",1000,0,"Total","Total",14002,"Two years preceding the survey",1,1,"RHANCPWNRS",NA,1998,"DHS",2010,2041,NA,NA,NA
"ZAF",205487,"Antenatal care provider: Traditional birth attendant",0.1,1,"ZA","South Africa",1998,"ZA1998DHS","RH_ANCP_W_TBA",83363070,"I",1000,0,"Total","Total",14002,"Two years preceding the survey",1,1,"RHANCPWTBA",NA,1998,"DHS",2010,2041,NA,NA,NA
"ZAF",205489,"Antenatal care provider: Other",0.7,1,"ZA","South Africa",1998,"ZA1998DHS","RH_ANCP_W_OTH",83363080,"I",1000,0,"Total","Total",14002,"Two years preceding the survey",1,1,"RHANCPWOTH",NA,1998,"DHS",2010,2041,NA,NA,NA
"ZAF",205491,"Antenatal care provider: Missing ",0.9,1,"ZA","South Africa",1998,"ZA1998DHS","RH_ANCP_W_MIS",83363090,"S",1000,0,"Total","Total",14002,"Two years preceding the survey",1,1,"RHANCPWMIS",NA,1998,"DHS",2010,2041,NA,NA,NA
"ZAF",205490,"No antenatal care",2.7,1,"ZA","South Africa",1998,"ZA1998DHS","RH_ANCP_W_NON",83363100,"I",1000,0,"Total","Total",14002,"Two years preceding the survey",1,1,"RHANCPWNON",NA,1998,"DHS",2010,2041,NA,NA,NA
"ZAF",205497,"Antenatal care: Total",100,1,"ZA","South Africa",1998,"ZA1998DHS","RH_ANCP_W_TOT",83363110,"T",1000,0,"Total","Total",14002,"Two years preceding the survey",1,1,"RHANCPWTOT",NA,1998,"DHS",2010,2041,NA,NA,NA
"ZAF",205486,"Antenatal care from a skilled provider",95.7,1,"ZA","South Africa",1998,"ZA1998DHS","RH_ANCP_W_SKP",83363120,"I",1000,0,"Total","Total",14002,"Two years preceding the survey",1,1,"RHANCPWSKP",NA,1998,"DHS",2010,2041,NA,NA,NA
"ZAF",205498,"Number of women with a live birth (or stillbirth) in the last two (or three/five) years",2010,0,"ZA","South Africa",1998,"ZA1998DHS","RH_ANCP_W_NUM",83363130,"D",1000,0,"Total","Total",14002,"Two years preceding the survey",1,1,"RHANCPWNUM",NA,1998,"DHS",NA,2041,NA,NA,NA
"ZAF",205492,"Number of women with a live birth (or stillbirth) in the last two (or three/five) years (unweighted)",2041,0,"ZA","South Africa",1998,"ZA1998DHS","RH_ANCP_W_UNW",83363140,"U",1000,0,"Total","Total",14002,"Two years preceding the survey",1,1,"RHANCPWUNW",NA,1998,"DHS",2010,NA,NA,NA,NA
"ZAF",3816,"Place of delivery: Public sector",77.6,1,"ZA","South Africa",1998,"ZA1998DHS","RH_DELP_C_PUB",83566010,"I",1000,0,"Total","Total",14002,"Two years preceding the survey",1,1,"RHDELPCPUB",NA,1998,"DHS",2081,2113,NA,NA,NA
"ZAF",3671,"Place of delivery: Private sector",7.5,1,"ZA","South Africa",1998,"ZA1998DHS","RH_DELP_C_PRV",83566020,"I",1000,0,"Total","Total",14002,"Two years preceding the survey",1,1,"RHDELPCPRV",NA,1998,"DHS",2081,2113,NA,NA,NA
"ZAF",3672,"Place of delivery: At home",13.5,1,"ZA","South Africa",1998,"ZA1998DHS","RH_DELP_C_HOM",83566030,"I",1000,0,"Total","Total",14002,"Two years preceding the survey",1,1,"RHDELPCHOM",NA,1998,"DHS",2081,2113,NA,NA,NA
"ZAF",3673,"Place of delivery: Other",0.1,1,"ZA","South Africa",1998,"ZA1998DHS","RH_DELP_C_OTH",83566040,"I",1000,0,"Total","Total",14002,"Two years preceding the survey",1,1,"RHDELPCOTH",NA,1998,"DHS",2081,2113,NA,NA,NA
"ZAF",3674,"Place of delivery: don't know or missing",1.2,1,"ZA","South Africa",1998,"ZA1998DHS","RH_DELP_C_DKM",83566050,"S",1000,0,"Total","Total",14002,"Two years preceding the survey",1,1,"RHDELPCDKM",NA,1998,"DHS",2081,2113,NA,NA,NA
"ZAF",3817,"Place of delivery: Total",100,1,"ZA","South Africa",1998,"ZA1998DHS","RH_DELP_C_TOT",83566060,"T",1000,0,"Total","Total",14002,"Two years preceding the survey",1,1,"RHDELPCTOT",NA,1998,"DHS",2081,2113,NA,NA,NA
