"dataset","variable","type","missing_pct","unique_n","sample_values","description"
"access-to-health-care_national_zaf","iso3","character",0,2,"#country+code, ZAF",""
"access-to-health-care_national_zaf","dataid","character",0,276,"#meta+id, 751751, 567476, 205488, 751748",""
"access-to-health-care_national_zaf","indicator","character",0,69,"#indicator+name, Antenatal care provider: Doctor, Antenatal care provider: Nurse/midwife, Antenatal care provider: Traditional birth attendant, Antenatal care provider: Other",""
"access-to-health-care_national_zaf","value","character",0,191,"#indicator+value+num, 28.5, 30, 27.3, 66.6",""
"access-to-health-care_national_zaf","precision","character",0,3,"#indicator+precision, 1, 0",""
"access-to-health-care_national_zaf","dhs_countrycode","character",0,2,", ZA",""
"access-to-health-care_national_zaf","countryname","character",0,2,"#country+name, South Africa",""
"access-to-health-care_national_zaf","surveyyear","character",0,3,"#date+year, 1998, 2016",""
"access-to-health-care_national_zaf","surveyid","character",0,3,"#survey+id, ZA1998DHS, ZA2016DHS",""
"access-to-health-care_national_zaf","indicatorid","character",0,73,"#indicator+code, RH_ANCP_W_DOC, RH_ANCP_W_NRS, RH_ANCP_W_TBA, RH_ANCP_W_OTH",""
"access-to-health-care_national_zaf","indicatororder","integer",0.0036,73,"83363010, 83363020, 83363070, 83363080, 83363090",""
"access-to-health-care_national_zaf","indicatortype","character",0,6,", I, S, T, D",""
"access-to-health-care_national_zaf","characteristicid","integer",0.0036,2,"1000",""
"access-to-health-care_national_zaf","characteristicorder","integer",0.0036,2,"0",""
"access-to-health-care_national_zaf","characteristiccategory","character",0,2,", Total",""
"access-to-health-care_national_zaf","characteristiclabel","character",0,2,", Total",""
"access-to-health-care_national_zaf","byvariableid","character",0,5,"#indicator+label+code, 14000, 14001, 14002, 0",""
"access-to-health-care_national_zaf","byvariablelabel","character",0,5,"#indicator+label, Three years preceding the survey, Five years preceding the survey, Two years preceding the survey, ",""
"access-to-health-care_national_zaf","istotal","integer",0.0036,2,"1",""
"access-to-health-care_national_zaf","ispreferred","integer",0.0036,3,"0, 1",""
"access-to-health-care_national_zaf","sdrid","character",0,73,", RHANCPWDOC, RHANCPWNRS, RHANCPWTBA, RHANCPWOTH",""
"access-to-health-care_national_zaf","regionid","logical",1,1,"",""
"access-to-health-care_national_zaf","surveyyearlabel","integer",0.0036,3,"1998, 2016",""
"access-to-health-care_national_zaf","surveytype","character",0,2,", DHS",""
"access-to-health-care_national_zaf","denominatorweighted","integer",0.1268,27,"2871, 4122, 2010, 3072, 4992",""
"access-to-health-care_national_zaf","denominatorunweighted","integer",0.1268,27,"2903, 4148, 2041, 3119, 5066",""
"access-to-health-care_national_zaf","cilow","logical",1,1,"",""
"access-to-health-care_national_zaf","cihigh","logical",1,1,"",""
"access-to-health-care_national_zaf","levelrank","logical",1,1,"",""
"anthropometry_national_zaf","iso3","character",0,2,"#country+code, ZAF",""
"anthropometry_national_zaf","dataid","character",0,38,"#meta+id, 198690, 198687, 198688, 597227",""
"anthropometry_national_zaf","indicator","character",0,34,"#indicator+name, Children severely stunted, Children stunted, Mean height for age of children, Children severely wasted",""
"anthropometry_national_zaf","value","character",0,37,"#indicator+value+num, 9.8, 27.4, -1.1, 0.6",""
"anthropometry_national_zaf","precision","character",0,3,"#indicator+precision, 1, 0",""
"anthropometry_national_zaf","dhs_countrycode","character",0,2,", ZA",""
"anthropometry_national_zaf","countryname","character",0,2,"#country+name, South Africa",""
