dataset,column,outlier_count
access-to-health-care_national_zaf,IndicatorOrder,0
access-to-health-care_national_zaf,CharacteristicId,0
access-to-health-care_national_zaf,CharacteristicOrder,0
access-to-health-care_national_zaf,IsTotal,0
access-to-health-care_national_zaf,IsPreferred,0
access-to-health-care_national_zaf,SurveyYearLabel,0
access-to-health-care_national_zaf,DenominatorWeighted,0
access-to-health-care_national_zaf,DenominatorUnweighted,0
anthropometry_national_zaf,IndicatorOrder,0
anthropometry_national_zaf,CharacteristicId,0
anthropometry_national_zaf,CharacteristicOrder,0
anthropometry_national_zaf,IsTotal,0
anthropometry_national_zaf,IsPreferred,0
anthropometry_national_zaf,SurveyYearLabel,0
anthropometry_national_zaf,DenominatorWeighted,0
anthropometry_national_zaf,DenominatorUnweighted,0
child-mortality-rates_national_zaf,IndicatorOrder,10
child-mortality-rates_national_zaf,CharacteristicId,0
child-mortality-rates_national_zaf,CharacteristicOrder,10
child-mortality-rates_national_zaf,IsTotal,0
child-mortality-rates_national_zaf,IsPreferred,10
child-mortality-rates_national_zaf,SurveyYearLabel,0
child-mortality-rates_national_zaf,DenominatorWeighted,0
child-mortality-rates_national_zaf,DenominatorUnweighted,0
child-mortality-rates_national_zaf,CILow,0
child-mortality-rates_national_zaf,CIHigh,0
covid-19-prevention_national_zaf,IndicatorOrder,6
covid-19-prevention_national_zaf,CharacteristicId,0
covid-19-prevention_national_zaf,CharacteristicOrder,0
covid-19-prevention_national_zaf,IsTotal,0
covid-19-prevention_national_zaf,IsPreferred,0
covid-19-prevention_national_zaf,SurveyYearLabel,0
covid-19-prevention_national_zaf,DenominatorWeighted,4
covid-19-prevention_national_zaf,DenominatorUnweighted,4
dhs-quickstats_national_zaf,IndicatorOrder,6
dhs-quickstats_national_zaf,CharacteristicId,9
dhs-quickstats_national_zaf,CharacteristicOrder,9
dhs-quickstats_national_zaf,IsTotal,0
dhs-quickstats_national_zaf,IsPreferred,11
dhs-quickstats_national_zaf,SurveyYearLabel,0
dhs-quickstats_national_zaf,DenominatorWeighted,3
dhs-quickstats_national_zaf,DenominatorUnweighted,5
dhs-quickstats_national_zaf,CILow,2
dhs-quickstats_national_zaf,CIHigh,3
hiv-behavior_national_zaf,IndicatorOrder,0
hiv-behavior_national_zaf,CharacteristicId,0
hiv-behavior_national_zaf,CharacteristicOrder,0
hiv-behavior_national_zaf,IsTotal,0
hiv-behavior_national_zaf,IsPreferred,0
hiv-behavior_national_zaf,SurveyYearLabel,17
hiv-behavior_national_zaf,DenominatorWeighted,7
hiv-behavior_national_zaf,DenominatorUnweighted,7
immunization_national_zaf,IndicatorOrder,0
immunization_national_zaf,CharacteristicId,0
immunization_national_zaf,CharacteristicOrder,0
immunization_national_zaf,IsTotal,0
immunization_national_zaf,IsPreferred,0
immunization_national_zaf,SurveyYearLabel,0
immunization_national_zaf,DenominatorWeighted,13
immunization_national_zaf,DenominatorUnweighted,13
iycf_national_zaf,IndicatorOrder,0
iycf_national_zaf,CharacteristicId,0
iycf_national_zaf,CharacteristicOrder,0
iycf_national_zaf,IsTotal,0
iycf_national_zaf,IsPreferred,0
iycf_national_zaf,SurveyYearLabel,0
iycf_national_zaf,DenominatorWeighted,2
iycf_national_zaf,DenominatorUnweighted,2
literacy_national_zaf,IndicatorOrder,0
literacy_national_zaf,CharacteristicId,0
literacy_national_zaf,CharacteristicOrder,0
literacy_national_zaf,IsTotal,0
literacy_national_zaf,IsPreferred,0
literacy_national_zaf,SurveyYearLabel,0
literacy_national_zaf,DenominatorWeighted,0
literacy_national_zaf,DenominatorUnweighted,0
maternal-mortality_national_zaf,IndicatorOrder,0
maternal-mortality_national_zaf,CharacteristicId,0
maternal-mortality_national_zaf,CharacteristicOrder,0
maternal-mortality_national_zaf,IsTotal,0
maternal-mortality_national_zaf,IsPreferred,0
maternal-mortality_national_zaf,SurveyYearLabel,0
maternal-mortality_national_zaf,DenominatorWeighted,0
maternal-mortality_national_zaf,DenominatorUnweighted,0
maternal-mortality_national_zaf,CILow,0
maternal-mortality_national_zaf,CIHigh,0
symptoms-of-acute-respiratory-infection-ari_national_zaf,IndicatorOrder,0
symptoms-of-acute-respiratory-infection-ari_national_zaf,CharacteristicId,0
symptoms-of-acute-respiratory-infection-ari_national_zaf,CharacteristicOrder,0
symptoms-of-acute-respiratory-infection-ari_national_zaf,IsTotal,0
symptoms-of-acute-respiratory-infection-ari_national_zaf,IsPreferred,0
symptoms-of-acute-respiratory-infection-ari_national_zaf,SurveyYearLabel,0
symptoms-of-acute-respiratory-infection-ari_national_zaf,DenominatorWeighted,0
symptoms-of-acute-respiratory-infection-ari_national_zaf,DenominatorUnweighted,0
toilet-facilities_national_zaf,IndicatorOrder,0
toilet-facilities_national_zaf,CharacteristicId,0
toilet-facilities_national_zaf,CharacteristicOrder,0
toilet-facilities_national_zaf,IsTotal,0
toilet-facilities_national_zaf,IsPreferred,0
toilet-facilities_national_zaf,SurveyYearLabel,0
toilet-facilities_national_zaf,DenominatorWeighted,0
toilet-facilities_national_zaf,DenominatorUnweighted,0
water_national_zaf,IndicatorOrder,0
water_national_zaf,CharacteristicId,0
water_national_zaf,CharacteristicOrder,0
water_national_zaf,IsTotal,0
water_national_zaf,IsPreferred,0
water_national_zaf,SurveyYearLabel,0
water_national_zaf,DenominatorWeighted,0
water_national_zaf,DenominatorUnweighted,0
