ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,ZA,#country+name,#date+year,#survey+id,#indicator+code,63206030,I,5500,5000,Total,Total,#indicator+label+code,#indicator+label,1,1,CMECMRCCMR,NA,2007,DHS,4348,4373,18.5,30,NA
ZAF,85995,Neonatal mortality rate (5 year periods),20,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMT_C_NNR,63205950,I,13000,25000,Five year periods,0-4,0,Five years preceding the survey,1,1,CMECMTCNNR,NA,1998,DHS,4348,4373,15,25,NA
ZAF,794581,Postneonatal mortality (5 year periods),26,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMT_C_PNR,63205950,I,13000,25000,Five year periods,0-4,0,Five years preceding the survey,1,1,CMECMTCPNR,NA,1998,DHS,4348,4373,20,31,NA
ZAF,785930,Infant mortality rate (5 year periods),45,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMT_C_IMR,63205950,I,13000,25000,Five year periods,0-4,0,Five years preceding the survey,1,1,CMECMTCIMR,NA,1998,DHS,4348,4373,38,53,NA
ZAF,56239,Child mortality (5 year periods),15,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMT_C_CMR,63205950,I,13000,25000,Five year periods,0-4,0,Five years preceding the survey,1,1,CMECMTCCMR,NA,1998,DHS,4348,4373,9,20,NA
ZAF,101014,Under-five mortality rate (5 year periods),59,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMT_C_U5M,63205950,I,13000,25000,Five year periods,0-4,0,Five years preceding the survey,1,1,CMECMTCU5M,NA,1998,DHS,4348,4373,44,68,NA
ZAF,83222,Neonatal mortality rate,20,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCNNR,NA,1998,DHS,4348,4373,15,25,NA
ZAF,101020,Neonatal mortality rate,19,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,1,CMECMRCNNR,NA,1998,DHS,4348,4373,16,23,NA
ZAF,57409,Postneonatal mortality rate,26,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCPNR,NA,1998,DHS,4348,4373,20,31,NA
ZAF,83666,Postneonatal mortality rate,23,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,1,CMECMRCPNR,NA,1998,DHS,4348,4373,19,27,NA
ZAF,61831,Infant mortality rate,45,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCIMR,NA,1998,DHS,4348,4373,38,53,NA
ZAF,76067,Infant mortality rate,42,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,1,CMECMRCIMR,NA,1998,DHS,4348,4373,37,48,NA
ZAF,799142,Child mortality rate,15,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCCMR,NA,1998,DHS,4348,4373,9,20,NA
ZAF,66518,Child mortality rate,15,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,1,CMECMRCCMR,NA,1998,DHS,4348,4373,12,19,NA
ZAF,26522,Under-five mortality rate,59,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,NA,1998,DHS,4348,4373,44,68,NA
ZAF,775922,Under-five mortality rate,57,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,1,CMECMRCU5M,NA,1998,DHS,4348,4373,44,63,NA
ZAF,101665,Stillbirths,127,0,ZA,South Africa,1998,ZA1998DHS,CM_PNMR_C_NSB,63206110,I,10000,10000,Total 15-49,Total 15-49,0,Five years preceding the survey,1,1,CMPNMRCNSB,NA,1998,DHS,4348,4373,18.5,30,NA
ZAF,101666,Early neonatal deaths,66,0,ZA,South Africa,1998,ZA1998DHS,CM_PNMR_C_NEN,63206110,I,10000,10000,Total 15-49,Total 15-49,0,Five years preceding the survey,1,1,CMPNMRCNEN,NA,1998,DHS,4348,4373,18.5,30,NA
ZAF,451037,Perinatal mortality rate (5 years),38,0,ZA,South Africa,1998,ZA1998DHS,CM_PNMR_C_PMR,63206110,I,10000,10000,Total 15-49,Total 15-49,0,Five years preceding the survey,1,1,CMPNMRCPMR,NA,1998,DHS,4348,4373,18.5,30,NA
ZAF,485682,Number of pregnancies of 7+ months duration,5119,0,ZA,South Africa,1998,ZA1998DHS,CM_PNMR_C_NUM,63206110,D,10000,10000,Total 15-49,Total 15-49,0,Five years preceding the survey,1,1,CMPNMRCNUM,NA,1998,DHS,4348,4373,18.5,30,NA
ZAF,413974,Number of pregnancies of 7+ months duration (unweighted),5183,0,ZA,South Africa,1998,ZA1998DHS,CM_PNMR_C_UNW,63206110,U,10000,10000,Total 15-49,Total 15-49,0,Five years preceding the survey,1,1,CMPNMRCUNW,NA,1998,DHS,4348,4373,18.5,30,NA
ZAF,57558,Neonatal mortality rate (5 year periods),21,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMT_C_NNR,63205950,I,13000,25000,Five year periods,0-4,0,Five years preceding the survey,1,1,CMECMTCNNR,NA,2016,DHS,4348,4373,13,29,NA
ZAF,795627,Postneonatal mortality (5 year periods),14,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMT_C_PNR,63205950,I,13000,25000,Five year periods,0-4,0,Five years preceding the survey,1,1,CMECMTCPNR,NA,2016,DHS,4348,4373,9,20,NA
ZAF,61510,Infant mortality rate (5 year periods),35,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMT_C_IMR,63205950,I,13000,25000,Five year periods,0-4,0,Five years preceding the survey,1,1,CMECMTCIMR,NA,2016,DHS,4348,4373,26,44,NA
ZAF,61299,Child mortality (5 year periods),7,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMT_C_CMR,63205950,I,13000,25000,Five year periods,0-4,0,Five years preceding the survey,1,1,CMECMTCCMR,NA,2016,DHS,4348,4373,4,10,NA
ZAF,62393,Under-five mortality rate (5 year periods),42,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMT_C_U5M,63205950,I,13000,25000,Five year periods,0-4,0,Five years preceding the survey,1,1,CMECMTCU5M,NA,2016,DHS,4348,4373,33,51,NA
ZAF,792292,Neonatal mortality rate,21,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCNNR,NA,2016,DHS,4348,4373,13,29,NA
ZAF,801557,Neonatal mortality rate,25,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,1,CMECMRCNNR,NA,2016,DHS,4348,4373,18,31,NA
ZAF,802092,Postneonatal mortality rate,14,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCPNR,NA,2016,DHS,4348,4373,9,20,NA
ZAF,101198,Postneonatal mortality rate,18,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,1,CMECMRCPNR,NA,2016,DHS,4348,4373,14,23,NA
ZAF,62500,Infant mortality rate,35,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCIMR,NA,2016,DHS,4348,4373,26,44,NA
ZAF,67910,Infant mortality rate,43,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,1,CMECMRCIMR,NA,2016,DHS,4348,4373,35,51,NA
ZAF,797370,Child mortality rate,7,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCCMR,NA,2016,DHS,4348,4373,4,10,NA
ZAF,72916,Child mortality rate,8,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,1,CMECMRCCMR,NA,2016,DHS,4348,4373,6,10,NA
ZAF,798705,Under-five mortality rate,42,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,NA,2016,DHS,4348,4373,33,51,NA
ZAF,66964,Under-five mortality rate,51,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,1,CMECMRCU5M,NA,2016,DHS,4348,4373,42,59,NA
ZAF,101330,Stillbirths,37,0,ZA,South Africa,2016,ZA2016DHS,CM_PNMR_C_NSB,63206110,I,10000,10000,Total 15-49,Total 15-49,0,Five years preceding the survey,1,1,CMPNMRCNSB,NA,2016,DHS,4348,4373,18.5,30,NA
ZAF,101331,Early neonatal deaths,66,0,ZA,South Africa,2016,ZA2016DHS,CM_PNMR_C_NEN,63206110,I,10000,10000,Total 15-49,Total 15-49,0,Five years preceding the survey,1,1,CMPNMRCNEN,NA,2016,DHS,4348,4373,18.5,30,NA
ZAF,459334,Perinatal mortality rate (5 years),29,0,ZA,South Africa,2016,ZA2016DHS,CM_PNMR_C_PMR,63206110,I,10000,10000,Total 15-49,Total 15-49,0,Five years preceding the survey,1,1,CMPNMRCPMR,NA,2016,DHS,4348,4373,18.5,30,NA
ZAF,471802,Number of pregnancies of 7+ months duration,3577,0,ZA,South Africa,2016,ZA2016DHS,CM_PNMR_C_NUM,63206110,D,10000,10000,Total 15-49,Total 15-49,0,Five years preceding the survey,1,1,CMPNMRCNUM,NA,2016,DHS,4348,4373,18.5,30,NA
ZAF,431196,Number of pregnancies of 7+ months duration (unweighted),3563,0,ZA,South Africa,2016,ZA2016DHS,CM_PNMR_C_UNW,63206110,U,10000,10000,Total 15-49,Total 15-49,0,Five years preceding the survey,1,1,CMPNMRCUNW,NA,2016,DHS,4348,4373,18.5,30,NA
