dataset,n_rows,n_cols,missing_count,missing_pct,duplicate_count,duplicate_pct,numeric_cols,character_cols,factor_cols,outlier_count
access-to-health-care_national_zaf,276,29,1104,13.79,0,0,8,17,0,0
anthropometry_national_zaf,38,29,152,13.79,0,0,8,17,0,0
child-mortality-rates_national_zaf,41,29,82,6.9,0,0,10,17,0,0
covid-19-prevention_national_zaf,35,29,140,13.79,0,0,8,17,0,0
dhs-quickstats_national_zaf,53,29,106,6.9,0,0,10,17,0,0
hiv-behavior_national_zaf,119,29,476,13.79,0,0,8,17,0,0
immunization_national_zaf,117,29,468,13.79,0,0,8,17,0,0
iycf_national_zaf,23,29,92,13.79,0,0,8,17,0,0
literacy_national_zaf,21,29,84,13.79,0,0,8,17,0,0
maternal-mortality_national_zaf,22,29,44,6.9,0,0,10,17,0,0
symptoms-of-acute-respiratory-infection-ari_national_zaf,27,29,108,13.79,0,0,8,17,0,0
toilet-facilities_national_zaf,47,29,188,13.79,0,0,8,17,0,0
water_national_zaf,101,29,404,13.79,0,0,8,17,0,0
