ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,ZA,#country+name,#date+year,#survey+id,#indicator+code,231233615,I,10000,10000,Total 15-49,Total 15-49,#indicator+label+code,#indicator+label,1,1,EDLITRMBLD,NA,2016,DHS,5858,7492,NA,NA,NA
ZAF,563770,Women with secondary or higher education,11.8,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_SCH,231233010,I,10000,10000,Total 15-49,Total 15-49,0,#indicator+label,1,1,EDLITRWSCH,NA,2016,DHS,8514,11805,NA,NA,NA
ZAF,563771,Women who can read a whole sentence,76.2,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_RDW,231233020,I,10000,10000,Total 15-49,Total 15-49,0,#indicator+label,1,1,EDLITRWRDW,NA,2016,DHS,8514,11805,NA,NA,NA
ZAF,563772,Women who can read part of a sentence,8.2,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_RDP,231233030,I,10000,10000,Total 15-49,Total 15-49,0,#indicator+label,1,1,EDLITRWRDP,NA,2016,DHS,8514,11805,NA,NA,NA
ZAF,563773,Women who cannot read at all,3.5,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_NRD,231233040,I,10000,10000,Total 15-49,Total 15-49,0,#indicator+label,1,1,EDLITRWNRD,NA,2016,DHS,8514,11805,NA,NA,NA
ZAF,563769,Women for whom no card with required language was available,0.1,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_NCD,231233050,I,10000,10000,Total 15-49,Total 15-49,0,#indicator+label,1,1,EDLITRWNCD,NA,2016,DHS,8514,11805,NA,NA,NA
ZAF,563774,Women who are blind/visually impaired,0.1,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_BLD,231233060,I,10000,10000,Total 15-49,Total 15-49,0,#indicator+label,1,1,EDLITRWBLD,NA,2016,DHS,8514,11805,NA,NA,NA
ZAF,563775,Women's literacy: Total,100,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_TOT,231233080,T,10000,10000,Total 15-49,Total 15-49,0,#indicator+label,1,1,EDLITRWTOT,NA,2016,DHS,8514,11805,NA,NA,NA
ZAF,563776,Women who are literate,96.3,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_LIT,231233090,I,10000,10000,Total 15-49,Total 15-49,0,#indicator+label,1,1,EDLITRWLIT,NA,2016,DHS,8514,11805,NA,NA,NA
ZAF,569331,Number of women,8514,0,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_NUM,231233100,D,10000,10000,Total 15-49,Total 15-49,0,#indicator+label,1,1,EDLITRWNUM,NA,2016,DHS,5858,11805,NA,NA,NA
